station,fam,n,wkratio,workhr,dn,midday_wd,identity
B003,48.750_-124.700__c80,219680,0.9500309991590588,0.3161826292789512,1.060668374685365,0.1869491988346686,NATURAL-like
B003,48.850_-123.400__c198,51931,1.1292987874883766,0.36839267489553446,1.179654759529036,0.23922127438331633,FLAT-mixed
B003,48.850_-124.950__c166,660766,1.1723583228332513,0.3971648056952083,0.7473253449459061,0.2874360968936053,FLAT-mixed
B003,48.900_-124.350__c394,670075,1.1614710271646589,0.4149311644218931,0.7515438702805362,0.30039920904376377,FLAT-mixed
B003,48.950_-123.600__c198,40040,1.226385541634156,0.3981518481518482,1.3843843843843844,0.2635864135864136,FLAT-mixed
B003,48.950_-123.750__c382,59846,1.131290191368555,0.35836981586070915,1.1879116117850954,0.2290712829595963,FLAT-mixed
B003,48.950_-124.750__c422,671923,1.1721124409705526,0.4325480747049885,0.7508514711183483,0.312343825110913,CULTURAL
B003,48.950_-124.900__c260,618500,1.2365996904047796,0.3774244139046079,0.8528625721121034,0.26960226354082456,FLAT-mixed
B004,47.600_-123.100__c620,372248,2.004558526854097,0.44815821710257675,0.6065591637818732,0.3658313812297178,BLAST
B004,47.700_-123.250__c1309,17079,1.2400076562868523,0.46378593594472745,1.2593476531424026,0.31822706247438376,CULTURAL
B004,47.750_-123.100__c378,201000,0.8644860488083742,0.2942686567164179,1.11242290082113,0.16338308457711442,FLAT-mixed
B004,47.800_-123.400__c917,249203,2.4436616060233316,0.4353197995208725,0.6354497103988132,0.3658984843681657,BLAST
B004,47.850_-123.100__c776,129700,1.0541259221086001,0.3402467232074017,0.9799992653540993,0.22481881264456438,NATURAL-like
B004,48.050_-123.700__c580,213320,2.431546993253296,0.4261719482467654,0.6353943973461114,0.3584567785486593,BLAST
B004,48.150_-123.300__c624,304805,2.069403137429306,0.4240448811535244,0.6351579935812093,0.3476845852266203,BLAST
B004,48.150_-123.550__c215,161841,2.435269483441885,0.3999851706304336,0.6202027213000969,0.33453204070661946,BLAST
B004,48.150_-123.600__c946,439872,2.2867354261418438,0.48819429288520294,0.571611136862808,0.4071207078422814,BLAST
