net,sta,lat,lon,chans,earliest,tremor_km,record_yr,band_km
PB,B030,43.9713,-122.7717,,,,,
PB,B023,46.1112,-123.0787,,,,,
PB,B941,46.9868,-122.219,,,,,
PB,B014,47.5133,-123.8125,,,,,
PB,B017,46.996,-123.5575,,,,,
PB,B049,40.2375,-123.8197,,,,,
PB,B026,45.3094,-123.8231,,,,,
PB,B020,46.3827,-123.8445,,,,,
PB,B935,40.4787,-123.5732,,,,,
PB,B204,46.136,-122.169,,,,,
PB,B028,44.4937,-122.9638,,,,,
