ym,nrow,nsite,nmode,idx_sig_real,idx_sig_meas,year
2025-08,4894,140,24,0.11651171461776764,0.07335636149559151,2025
2025-09,4916,137,24,0.12127108662555677,0.07951908046010132,2025
2025-10,4886,137,24,0.11621845160629872,0.07326572101925714,2025
2025-11,4929,138,24,0.12055321173780814,0.07488322613704015,2025
2025-12,4998,142,24,0.11865931366693999,0.07391408494232146,2025
2026-01,5001,138,24,0.11973554755099369,0.07546317932563097,2026
2026-02,4963,139,24,0.12079171539712809,0.0757499555695263,2026
2026-03,4975,139,25,0.11945671016009148,0.07476301792882135,2026
2026-04,4926,138,24,0.12063210241333741,0.07551672259475384,2026
2026-05,4869,138,24,0.11997504826108661,0.07499530531740854,2026
2026-06,4631,137,22,0.124271640368018,0.07935725916614955,2026
2026-07,4500,136,22,0.12544402356189674,0.0813773677307056,2026
